Groups:
cpu_address[15..0] =, cpu_address[15], cpu_address[14], cpu_address[13], cpu_address[12], cpu_address[11], cpu_address[10], cpu_address[9], cpu_address[8], cpu_address[7], cpu_address[6], cpu_address[5], cpu_address[4], cpu_address[3], cpu_address[2], cpu_address[1], cpu_address[0],  hex
cpu_data_out[7..0] =, cpu_data_out[7], cpu_data_out[6], cpu_data_out[5], cpu_data_out[4], cpu_data_out[3], cpu_data_out[2], cpu_data_out[1], cpu_data_out[0],  hex

Data:
time unit: us, cpu_address[15..0], cpu_address[15], cpu_address[14], cpu_address[13], cpu_address[12], cpu_address[11], cpu_address[10], cpu_address[9], cpu_address[8], cpu_address[7], cpu_address[6], cpu_address[5], cpu_address[4], cpu_address[3], cpu_address[2], cpu_address[1], cpu_address[0], cpu_data_out[7..0], cpu_data_out[7], cpu_data_out[6], cpu_data_out[5], cpu_data_out[4], cpu_data_out[3], cpu_data_out[2], cpu_data_out[1], cpu_data_out[0], 
0, XXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, 
1224, 003D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 
1248, 026C, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1272, 003E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1296, 003F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1320, 0040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1344, 026D, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1368, 0041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1392, 0042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1416, 0043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1440, 026C, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1464, 0044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1488, 0045, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1512, 0046, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1536, 026D, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1560, 0047, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1584, 0048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1608, 0049, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1632, 0051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1656, 004A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1680, 004B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1704, 004C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
1728, 0052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1752, 004D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1776, 004E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1800, 004F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1824, 0269, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1848, 0050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1872, 0051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1896, 0052, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 19, 0, 0, 0, 1, 1, 0, 0, 1, 
1920, 8019, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1944, 0053, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1968, 0054, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
1992, 0055, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2016, 026C, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2040, 0056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2064, 0057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2088, 0058, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2112, 026D, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2136, 0059, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2160, 005A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2184, 005B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2208, 005C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2232, 005D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2256, 005E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 20, 0, 0, 1, 0, 0, 0, 0, 0, 
2280, 026C, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
2304, 005F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
2328, 0060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
2352, 0061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
2376, 026D, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2400, 0062, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2424, 0063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2448, 0064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2472, 0267, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2496, 0065, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2520, 0066, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2544, 0067, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2568, 0068, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
2592, 0267, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2616, 0069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2640, 006A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2664, 006B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2688, 0013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2712, 0014, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2736, 0015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2760, 0016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2784, 0267, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2808, 0017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2832, 0018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2856, 0019, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2880, 0266, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2904, 001A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2928, 001B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2952, 001C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
2976, 001D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3000, 001E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3024, 001F, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3048, 0020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3072, 0021, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3096, 0022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3120, 026C, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3144, 0023, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3168, 0024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3192, 0025, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3216, 026D, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3240, 0026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3264, 0027, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3288, 0028, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 
3312, 0030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
3336, 0029, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
3360, 002A, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
3384, 002B, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 80, 1, 0, 0, 0, 0, 0, 0, 0, 
3408, 0031, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
3432, 002C, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
3456, 002D, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
3480, 002E, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
3504, 0268, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 
